epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,255.658,1.29526,0.85649,1.14719,0.55597,0.53774,0.47092,0.15571,2.56808,1.68115,2.25418,0.0016436,0.0016436,0.0016436
92,257.977,1.27283,0.88455,1.16724,0.5854,0.53774,0.50695,0.16215,2.53596,1.57587,2.24253,0.00163964,0.00163964,0.00163964
93,260.231,1.20873,0.83356,1.14203,0.5854,0.53774,0.50695,0.16215,2.53596,1.57587,2.24253,0.00163568,0.00163568,0.00163568
94,262.541,1.31333,0.86874,1.1558,0.55349,0.63149,0.52245,0.16704,2.53117,1.51933,2.23345,0.00163172,0.00163172,0.00163172
95,264.812,1.22335,0.81017,1.14053,0.5599,0.62264,0.52983,0.17676,2.5268,1.51745,2.23286,0.00162776,0.00162776,0.00162776
96,267.213,1.22914,0.83595,1.12272,0.59686,0.66981,0.54346,0.16138,2.56137,1.51899,2.21377,0.0016238,0.0016238,0.0016238
97,269.364,1.23634,0.8576,1.15498,0.59686,0.66981,0.54346,0.16138,2.56137,1.51899,2.21377,0.00161984,0.00161984,0.00161984
98,271.636,1.30073,0.91107,1.18072,0.66017,0.66981,0.57041,0.16698,2.59733,1.45444,2.17985,0.00161588,0.00161588,0.00161588
99,273.869,1.22118,0.80921,1.14128,0.63936,0.66038,0.5672,0.18142,2.61953,1.44531,2.21539,0.00161192,0.00161192,0.00161192
100,276.605,1.26425,0.83077,1.14573,0.66047,0.66038,0.58447,0.17623,2.58908,1.40234,2.24659,0.00160796,0.00160796,0.00160796
101,279.332,1.21111,0.80945,1.13717,0.66047,0.66038,0.58447,0.17623,2.58908,1.40234,2.24659,0.001604,0.001604,0.001604
102,281.931,1.24805,0.81992,1.16765,0.67289,0.66038,0.63972,0.21576,2.46003,1.31013,2.10447,0.00160004,0.00160004,0.00160004
103,284.559,1.22582,0.81782,1.1293,0.59389,0.69811,0.62663,0.20437,2.49582,1.35444,2.12683,0.00159608,0.00159608,0.00159608
104,287.282,1.16666,0.80349,1.12337,0.67246,0.65094,0.62595,0.19734,2.54603,1.36056,2.17153,0.00159212,0.00159212,0.00159212
105,289.673,1.16467,0.7976,1.11356,0.67246,0.65094,0.62595,0.19734,2.54603,1.36056,2.17153,0.00158816,0.00158816,0.00158816
106,292.147,1.17671,0.7753,1.10521,0.67012,0.61321,0.58991,0.18638,2.57551,1.42601,2.24785,0.0015842,0.0015842,0.0015842
107,294.934,1.15398,0.76829,1.10825,0.66805,0.68352,0.59644,0.18914,2.52066,1.44136,2.19704,0.00158024,0.00158024,0.00158024
108,297.813,1.17457,0.77796,1.10267,0.65141,0.72281,0.62349,0.20505,2.46398,1.32856,2.10557,0.00157628,0.00157628,0.00157628
