epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,14.2925,1.9252,2.37615,3.79371,1.1624,0.00333,0.375,0.00246,0.00126,0.00333,0.375,0.00234,0.00147,1.45237,1.9591,3.65672,1.03054,5.6436e-05,5.6436e-05,5.6436e-05
5,14.8979,2.0376,2.88417,4.06219,1.2263,0.00444,0.5,0.00345,0.00148,0.00333,0.375,0.00237,0.00142,1.47289,1.94439,3.66369,1.03283,7.3664e-05,7.3664e-05,7.3664e-05
6,15.6714,1.78502,2.63956,4.03891,1.17957,0.00333,0.375,0.00265,0.00211,0.00556,0.625,0.00524,0.0024,1.28189,1.86769,3.63265,0.99909,9.01e-05,9.01e-05,9.01e-05
7,16.4006,1.6456,2.15669,3.65746,1.15705,0.00667,0.75,0.00698,0.00523,0.00667,0.75,0.00788,0.00513,1.12086,1.83804,3.55803,0.96132,0.000105744,0.000105744,0.000105744
8,17.1465,1.49566,2.06059,3.61435,1.01531,0.00667,0.75,0.00679,0.00507,0.00667,0.75,0.00804,0.00498,1.11287,1.82277,3.55739,0.95963,0.000120596,0.000120596,0.000120596
9,18.0128,1.64121,1.88648,3.59442,1.08317,0.00667,0.75,0.00679,0.00507,0.00667,0.75,0.00804,0.00498,1.11287,1.82277,3.55739,0.95963,0.000134656,0.000134656,0.000134656
10,19.0197,1.59055,1.85415,3.50724,1.04389,0.00667,0.75,0.00813,0.00579,0.00667,0.75,0.13192,0.01852,0.99166,1.68135,3.5364,0.91455,0.000147924,0.000147924,0.000147924
11,19.9926,1.68493,1.91902,3.54149,1.05363,0.00667,0.75,0.00813,0.00579,0.00667,0.75,0.13192,0.01852,0.99166,1.68135,3.5364,0.91455,0.0001604,0.0001604,0.0001604
12,21.1286,1.43278,1.83187,3.39204,0.9883,0.00667,0.75,0.01121,0.00859,0.00778,0.875,0.01217,0.00809,1.00703,1.63238,3.52835,0.90308,0.000172084,0.000172084,0.000172084
13,21.9299,1.41204,1.85011,3.3253,0.97803,0.00667,0.75,0.01121,0.00859,0.00778,0.875,0.01217,0.00809,1.00703,1.63238,3.52835,0.90308,0.000182976,0.000182976,0.000182976
14,22.7308,1.64398,1.86594,3.4666,0.99659,0.00667,0.75,0.01111,0.00763,0.00778,0.875,0.01207,0.00865,1.06168,1.58408,3.53485,0.90756,0.000193076,0.000193076,0.000193076
15,23.4909,1.55646,1.96987,3.15397,1.02497,0.00667,0.75,0.01111,0.00763,0.00778,0.875,0.01207,0.00865,1.06168,1.58408,3.53485,0.90756,0.000202384,0.000202384,0.000202384
16,24.35,1.24636,1.41792,3.09963,0.94297,0.00667,0.75,0.02851,0.01454,0.00889,1,0.12767,0.07087,1.09192,1.26597,3.52197,0.90429,0.0002109,0.0002109,0.0002109
17,25.1252,1.34293,1.71613,2.89705,0.96549,0.00667,0.75,0.02851,0.01454,0.00889,1,0.12767,0.07087,1.09192,1.26597,3.52197,0.90429,0.000218624,0.000218624,0.000218624
18,26.0881,1.82852,2.05374,3.01641,1.04596,0.00889,1,0.10492,0.03552,0.00889,1,0.31113,0.14564,1.06942,1.12113,3.47265,0.88853,0.000225556,0.000225556,0.000225556
19,26.8845,1.46219,1.85433,2.81119,1.08152,0.00889,1,0.10492,0.03552,0.00889,1,0.31113,0.14564,1.06942,1.12113,3.47265,0.88853,0.000231696,0.000231696,0.000231696
20,27.7298,1.46806,1.907,2.75616,0.97102,0.00889,1,0.18354,0.0648,0.00889,1,0.37766,0.13197,1.03261,1.1086,3.44215,0.87612,0.000237044,0.000237044,0.000237044
21,28.4449,1.36446,1.47882,2.54161,0.97901,0.00889,1,0.18354,0.0648,0.00889,1,0.37766,0.13197,1.03261,1.1086,3.44215,0.87612,0.0002416,0.0002416,0.0002416
22,29.3089,1.41287,1.59389,2.52933,1.03641,0.00889,1,0.21157,0.06381,0.00889,1,0.39674,0.13656,1.07036,1.18488,3.43279,0.87429,0.000245364,0.000245364,0.000245364
23,30.1782,1.50525,1.91877,2.37179,0.98165,0.00889,1,0.21157,0.06381,0.00889,1,0.39674,0.13656,1.07036,1.18488,3.43279,0.87429,0.000248336,0.000248336,0.000248336
24,31.0332,1.40002,1.76307,2.35128,0.98367,0.00889,1,0.21157,0.06381,0.00889,1,0.39674,0.13656,1.07036,1.18488,3.43279,0.87429,0.000250516,0.000250516,0.000250516
25,31.8479,1.48511,1.86075,2.3756,1.01049,0.00889,1,0.2181,0.05801,0.00889,1,0.43723,0.18485,1.12185,1.38782,3.48428,0.88692,0.000251904,0.000251904,0.000251904
26,32.6305,1.62378,1.85333,2.22416,1.02402,0.00889,1,0.2181,0.05801,0.00889,1,0.43723,0.18485,1.12185,1.38782,3.48428,0.88692,0.0002525,0.0002525,0.0002525
27,33.4538,1.45889,1.67258,2.17824,1.00856,0.00889,1,0.2181,0.05801,0.00889,1,0.43723,0.18485,1.12185,1.38782,3.48428,0.88692,0.000252304,0.000252304,0.000252304
28,34.2873,1.32275,1.56621,2.21784,0.99159,0.00889,1,0.12809,0.03722,0.00889,1,0.42436,0.24353,1.09964,1.50285,3.48997,0.89718,0.000251316,0.000251316,0.000251316
29,35.2318,1.53504,1.69971,2.12551,0.98623,0.00889,1,0.12809,0.03722,0.00889,1,0.42436,0.24353,1.09964,1.50285,3.48997,0.89718,0.000249536,0.000249536,0.000249536
30,36.0181,1.44606,1.6891,2.04835,0.98358,0.00889,1,0.12809,0.03722,0.00889,1,0.42436,0.24353,1.09964,1.50285,3.48997,0.89718,0.000246964,0.000246964,0.000246964
31,36.8298,1.33651,1.64427,2.02867,0.96546,0.00889,1,0.08153,0.03038,0.00889,1,0.49367,0.24302,1.10424,1.67432,3.51077,0.90442,0.0002436,0.0002436,0.0002436
32,37.5563,1.45939,1.49676,1.93985,0.95317,0.00889,1,0.08153,0.03038,0.00889,1,0.49367,0.24302,1.10424,1.67432,3.51077,0.90442,0.000239444,0.000239444,0.000239444
33,38.3996,1.34532,1.51678,1.78966,0.93154,0.00889,1,0.08153,0.03038,0.00889,1,0.49367,0.24302,1.10424,1.67432,3.51077,0.90442,0.000234496,0.000234496,0.000234496
34,39.3074,1.33687,1.67911,1.84804,0.99242,0.00889,1,0.05674,0.02503,0.00889,1,0.475,0.22251,1.16026,1.892,3.46783,0.91082,0.000228756,0.000228756,0.000228756
35,40.0754,1.3027,1.61167,1.79286,0.99796,0.00889,1,0.05674,0.02503,0.00889,1,0.475,0.22251,1.16026,1.892,3.46783,0.91082,0.000222224,0.000222224,0.000222224
36,40.8462,1.40202,1.41933,1.68379,0.91166,0.00889,1,0.05674,0.02503,0.00889,1,0.475,0.22251,1.16026,1.892,3.46783,0.91082,0.0002149,0.0002149,0.0002149
37,41.5876,1.37531,1.41662,1.74921,0.92306,0.00889,1,0.05674,0.02503,0.00889,1,0.475,0.22251,1.16026,1.892,3.46783,0.91082,0.000206784,0.000206784,0.000206784
38,42.4597,1.4062,1.51397,1.84786,0.97162,0.00889,1,0.05698,0.02173,0.00889,1,0.52307,0.21105,1.24848,1.98246,3.44168,0.9397,0.000197876,0.000197876,0.000197876
39,43.2297,1.50253,1.75715,1.69515,1.0099,0.00889,1,0.05698,0.02173,0.00889,1,0.52307,0.21105,1.24848,1.98246,3.44168,0.9397,0.000188176,0.000188176,0.000188176
40,44.1126,1.33777,1.68732,1.72396,0.96593,0.00889,1,0.05698,0.02173,0.00889,1,0.52307,0.21105,1.24848,1.98246,3.44168,0.9397,0.000177684,0.000177684,0.000177684
41,65.7119,1.32453,1.4727,1.81433,1.05049,0.00889,1,0.05698,0.02173,0.00889,1,0.52307,0.21105,1.24848,1.98246,3.44168,0.9397,0.0001664,0.0001664,0.0001664
42,66.6783,1.26735,1.48111,1.99481,0.96661,0.00889,1,0.05358,0.01963,0.00889,1,0.53885,0.19671,1.21281,1.8751,3.42811,0.93818,0.000154324,0.000154324,0.000154324
43,67.6017,1.40382,1.92559,1.83196,0.97628,0.00889,1,0.05358,0.01963,0.00889,1,0.53885,0.19671,1.21281,1.8751,3.42811,0.93818,0.000141456,0.000141456,0.000141456
44,68.4195,1.36979,1.60806,1.63777,0.98319,0.00889,1,0.05358,0.01963,0.00889,1,0.53885,0.19671,1.21281,1.8751,3.42811,0.93818,0.000127796,0.000127796,0.000127796
45,69.2046,1.3288,1.44868,1.79055,0.97008,0.00889,1,0.05358,0.01963,0.00889,1,0.53885,0.19671,1.21281,1.8751,3.42811,0.93818,0.000113344,0.000113344,0.000113344
46,70.0829,1.26314,1.79938,1.80322,0.90772,0.00889,1,0.05138,0.01861,0.00889,1,0.61086,0.23919,1.15427,1.57505,3.40042,0.92841,9.81e-05,9.81e-05,9.81e-05
47,70.7914,1.27533,1.36872,1.90963,0.93734,0.00889,1,0.05138,0.01861,0.00889,1,0.61086,0.23919,1.15427,1.57505,3.40042,0.92841,8.2064e-05,8.2064e-05,8.2064e-05
48,71.6219,1.19507,1.39539,1.616,0.92637,0.00889,1,0.05138,0.01861,0.00889,1,0.61086,0.23919,1.15427,1.57505,3.40042,0.92841,6.5236e-05,6.5236e-05,6.5236e-05
49,72.3619,1.21066,1.54342,1.76448,1.01866,0.00889,1,0.05138,0.01861,0.00889,1,0.61086,0.23919,1.15427,1.57505,3.40042,0.92841,4.7616e-05,4.7616e-05,4.7616e-05
50,73.1225,1.44389,1.41105,1.64708,0.9999,0.00889,1,0.05147,0.01789,0.00889,1,0.60968,0.24429,1.15039,1.43222,3.37915,0.92669,2.9204e-05,2.9204e-05,2.9204e-05
