epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,150.867,1.13306,0.35094,0.32303,0.66378,1.13168,0.95077,0.97368,0.97441,0.62227,0.95077,0.97368,0.97441,0.96538,1.23738,0.21949,0.13939,0.61513,1.24609,0.0018119,0.0018119,0.0018119
40,153.808,1.08623,0.32377,0.2796,0.65074,1.10657,0.94458,0.97368,0.97275,0.62009,0.94458,0.97368,0.97275,0.95767,1.23723,0.23906,0.13707,0.61026,1.25856,0.00180695,0.00180695,0.00180695
41,156.912,1.11785,0.33925,0.33007,0.6775,1.1562,0.90453,0.99741,0.96428,0.61052,0.9246,1,0.96478,0.95123,1.16903,0.23474,0.12859,0.63314,1.21154,0.001802,0.001802,0.001802
42,159.686,1.11198,0.35481,0.30612,0.66595,1.11689,0.93826,0.97368,0.94952,0.60526,0.92385,1,0.96306,0.9489,1.22183,0.23168,0.12038,0.62604,1.21529,0.00179705,0.00179705,0.00179705
43,162.41,1.15858,0.34948,0.27646,0.67246,1.09865,0.94003,0.97368,0.94877,0.62236,0.92625,0.99168,0.9602,0.93515,1.1962,0.21453,0.1132,0.63049,1.23486,0.0017921,0.0017921,0.0017921
44,165.323,1.14933,0.33087,0.2952,0.6849,1.11282,0.92171,0.97368,0.92428,0.5945,0.92171,0.97368,0.93866,0.92411,1.1838,0.21193,0.10896,0.62305,1.25007,0.00178715,0.00178715,0.00178715
45,168.082,1.11197,0.31646,0.28409,0.631,1.12855,0.91614,0.97368,0.94917,0.56241,0.91614,0.97368,0.94917,0.94435,1.31421,0.21038,0.11331,0.66149,1.24648,0.0017822,0.0017822,0.0017822
46,170.953,1.13034,0.35781,0.32067,0.67894,1.11956,0.91614,0.97368,0.94917,0.56241,0.91614,0.97368,0.94917,0.94435,1.31421,0.21038,0.11331,0.66149,1.24648,0.00177725,0.00177725,0.00177725
47,173.951,1.11025,0.31323,0.32486,0.66447,1.13747,0.93262,0.97368,0.95976,0.61054,0.92533,1,0.96868,0.95823,1.26687,0.19828,0.11005,0.64921,1.25872,0.0017723,0.0017723,0.0017723
48,177.102,1.04862,0.29579,0.27958,0.64103,1.09382,0.94263,0.97368,0.95075,0.62375,0.94988,0.99756,0.9686,0.95396,1.26855,0.2099,0.11044,0.63864,1.26607,0.00176735,0.00176735,0.00176735
